Most common words,Absolute frequency,Relative frequency
late,42.0,0.0007463349622390049
strength,42.0,0.0007463349622390049
help,42.0,0.0007463349622390049
change,42.0,0.0007463349622390049
tone,42.0,0.0007463349622390049
bread,42.0,0.0007463349622390049
girls,42.0,0.0007463349622390049
form,42.0,0.0007463349622390049
none,41.0,0.0007285650821856952
self,41.0,0.0007285650821856952
really,41.0,0.0007285650821856952
clear,41.0,0.0007285650821856952
french,41.0,0.0007285650821856952
ere,41.0,0.0007285650821856952
chamber,41.0,0.0007285650821856952
state,41.0,0.0007285650821856952
glance,41.0,0.0007285650821856952
please,41.0,0.0007285650821856952
soul,41.0,0.0007285650821856952
five,41.0,0.0007285650821856952
bright,40.0,0.0007107952021323857
bear,40.0,0.0007107952021323857
breakfast,40.0,0.0007107952021323857
glass,40.0,0.0007107952021323857
ago,40.0,0.0007107952021323857
wood,40.0,0.0007107952021323857
hannah,40.0,0.0007107952021323857
probably,39.0,0.000693025322079076
amongst,39.0,0.000693025322079076
reader,39.0,0.000693025322079076
mere,39.0,0.000693025322079076
manner,39.0,0.000693025322079076
afternoon,39.0,0.000693025322079076
blood,39.0,0.000693025322079076
gentleman,39.0,0.000693025322079076
past,39.0,0.000693025322079076
family,39.0,0.000693025322079076
sitting,39.0,0.000693025322079076
dressed,39.0,0.000693025322079076
england,39.0,0.000693025322079076
expected,39.0,0.000693025322079076
lived,39.0,0.000693025322079076
front,39.0,0.000693025322079076
trees,38.0,0.0006752554420257663
existence,38.0,0.0006752554420257663
die,38.0,0.0006752554420257663
conversation,38.0,0.0006752554420257663
true,38.0,0.0006752554420257663
seek,38.0,0.0006752554420257663
trouble,38.0,0.0006752554420257663
tall,38.0,0.0006752554420257663
need,38.0,0.0006752554420257663
fair,37.0,0.0006574855619724567
works,37.0,0.0006574855619724567
ten,37.0,0.0006574855619724567
ought,37.0,0.0006574855619724567
closed,37.0,0.0006574855619724567
reply,37.0,0.0006574855619724567
soft,37.0,0.0006574855619724567
filled,37.0,0.0006574855619724567
sleep,37.0,0.0006574855619724567
usual,37.0,0.0006574855619724567
hours,37.0,0.0006574855619724567
dress,37.0,0.0006574855619724567
tea,37.0,0.0006574855619724567
hardly,37.0,0.0006574855619724567
ear,36.0,0.000639715681919147
e,36.0,0.000639715681919147
bell,36.0,0.000639715681919147
dinner,36.0,0.000639715681919147
distance,36.0,0.000639715681919147
speaking,36.0,0.000639715681919147
four,36.0,0.000639715681919147
servants,36.0,0.000639715681919147
wonder,36.0,0.000639715681919147
servant,36.0,0.000639715681919147
handsome,36.0,0.000639715681919147
blue,36.0,0.000639715681919147
living,36.0,0.000639715681919147
use,35.0,0.0006219458018658375
truth,35.0,0.0006219458018658375
rain,35.0,0.0006219458018658375
presently,35.0,0.0006219458018658375
also,35.0,0.0006219458018658375
husband,35.0,0.0006219458018658375
afraid,35.0,0.0006219458018658375
friends,35.0,0.0006219458018658375
loved,35.0,0.0006219458018658375
different,35.0,0.0006219458018658375
dream,35.0,0.0006219458018658375
bent,35.0,0.0006219458018658375
case,35.0,0.0006219458018658375
fortune,35.0,0.0006219458018658375
aid,34.0,0.0006041759218125278
men,34.0,0.0006041759218125278
stranger,34.0,0.0006041759218125278
bad,34.0,0.0006041759218125278
taking,34.0,0.0006041759218125278
money,34.0,0.0006041759218125278
send,34.0,0.0006041759218125278
kitchen,34.0,0.0006041759218125278
placed,34.0,0.0006041759218125278
quietly,34.0,0.0006041759218125278
watched,34.0,0.0006041759218125278
listen,34.0,0.0006041759218125278
twenty,34.0,0.0006041759218125278
laugh,34.0,0.0006041759218125278
future,33.0,0.0005864060417592181
red,33.0,0.0005864060417592181
age,33.0,0.0005864060417592181
week,33.0,0.0005864060417592181
deal,33.0,0.0005864060417592181
suddenly,33.0,0.0005864060417592181
pleasant,33.0,0.0005864060417592181
interest,33.0,0.0005864060417592181
sister,33.0,0.0005864060417592181
tears,33.0,0.0005864060417592181
calm,33.0,0.0005864060417592181
watch,33.0,0.0005864060417592181
heaven,33.0,0.0005864060417592181
sight,33.0,0.0005864060417592181
letter,33.0,0.0005864060417592181
brow,33.0,0.0005864060417592181
walked,33.0,0.0005864060417592181
meet,33.0,0.0005864060417592181
schoolroom,33.0,0.0005864060417592181
rising,33.0,0.0005864060417592181
approached,33.0,0.0005864060417592181
plain,32.0,0.0005686361617059085
nurse,32.0,0.0005686361617059085
mama,32.0,0.0005686361617059085
scene,32.0,0.0005686361617059085
wall,32.0,0.0005686361617059085
certainly,32.0,0.0005686361617059085
rise,32.0,0.0005686361617059085
grave,32.0,0.0005686361617059085
flowers,32.0,0.0005686361617059085
garden,32.0,0.0005686361617059085
replied,32.0,0.0005686361617059085
sun,32.0,0.0005686361617059085
morrow,32.0,0.0005686361617059085
burns,32.0,0.0005686361617059085
horse,32.0,0.0005686361617059085
rich,32.0,0.0005686361617059085
governess,32.0,0.0005686361617059085
poole,32.0,0.0005686361617059085
narrow,31.0,0.0005508662816525988
curtain,31.0,0.0005508662816525988
subject,31.0,0.0005508662816525988
try,31.0,0.0005508662816525988
foot,31.0,0.0005508662816525988
carriage,31.0,0.0005508662816525988
beauty,31.0,0.0005508662816525988
pity,31.0,0.0005508662816525988
effort,31.0,0.0005508662816525988
c,31.0,0.0005508662816525988
ready,31.0,0.0005508662816525988
others,31.0,0.0005508662816525988
forehead,31.0,0.0005508662816525988
countenance,31.0,0.0005508662816525988
lost,31.0,0.0005508662816525988
terms,30.0,0.0005330964015992892
third,30.0,0.0005330964015992892
eliza,30.0,0.0005330964015992892
natural,30.0,0.0005330964015992892
broken,30.0,0.0005330964015992892
feared,30.0,0.0005330964015992892
times,30.0,0.0005330964015992892
flesh,30.0,0.0005330964015992892
somewhat,30.0,0.0005330964015992892
known,30.0,0.0005330964015992892
dared,30.0,0.0005330964015992892
else,30.0,0.0005330964015992892
real,30.0,0.0005330964015992892
delight,30.0,0.0005330964015992892
broke,30.0,0.0005330964015992892
shook,30.0,0.0005330964015992892
along,30.0,0.0005330964015992892
ill,30.0,0.0005330964015992892
became,30.0,0.0005330964015992892
cheek,30.0,0.0005330964015992892
ground,30.0,0.0005330964015992892
months,30.0,0.0005330964015992892
observed,30.0,0.0005330964015992892
understand,30.0,0.0005330964015992892
gallery,30.0,0.0005330964015992892
offer,30.0,0.0005330964015992892
free,30.0,0.0005330964015992892
oliver,30.0,0.0005330964015992892
books,29.0,0.0005153265215459796
whatever,29.0,0.0005153265215459796
show,29.0,0.0005153265215459796
saying,29.0,0.0005153265215459796
nursery,29.0,0.0005153265215459796
dear,29.0,0.0005153265215459796
promise,29.0,0.0005153265215459796
dare,29.0,0.0005153265215459796
lifted,29.0,0.0005153265215459796
means,29.0,0.0005153265215459796
tired,29.0,0.0005153265215459796
forward,29.0,0.0005153265215459796
proceeded,29.0,0.0005153265215459796
smiled,29.0,0.0005153265215459796
pure,29.0,0.0005153265215459796
marriage,29.0,0.0005153265215459796
millcote,29.0,0.0005153265215459796
eshton,29.0,0.0005153265215459796
dent,29.0,0.0005153265215459796
language,28.0,0.0004975566414926699
earth,28.0,0.0004975566414926699
hearth,28.0,0.0004975566414926699
upstairs,28.0,0.0004975566414926699
hold,28.0,0.0004975566414926699
led,28.0,0.0004975566414926699
grey,28.0,0.0004975566414926699
friend,28.0,0.0004975566414926699
beautiful,28.0,0.0004975566414926699
task,28.0,0.0004975566414926699
thank,27.0,0.0004797867614393603
walls,27.0,0.0004797867614393603
clean,27.0,0.0004797867614393603
hate,27.0,0.0004797867614393603
society,27.0,0.0004797867614393603
company,27.0,0.0004797867614393603
