Most common words,Absolute frequency,Relative frequency
speak,82.0,0.0009140054617399543
name,82.0,0.0009140054617399543
young,81.0,0.0009028590536699549
gave,80.0,0.0008917126455999555
world,80.0,0.0008917126455999555
home,80.0,0.0008917126455999555
called,80.0,0.0008917126455999555
nature,79.0,0.0008805662375299559
whether,78.0,0.0008694198294599565
ladies,78.0,0.0008694198294599565
since,77.0,0.0008582734213899571
window,77.0,0.0008582734213899571
done,76.0,0.0008471270133199577
thing,76.0,0.0008471270133199577
continued,76.0,0.0008471270133199577
mine,76.0,0.0008471270133199577
hands,76.0,0.0008471270133199577
find,76.0,0.0008471270133199577
hope,76.0,0.0008471270133199577
diana,76.0,0.0008471270133199577
alone,75.0,0.0008359806052499582
minutes,75.0,0.0008359806052499582
answered,75.0,0.0008359806052499582
seen,75.0,0.0008359806052499582
keep,74.0,0.0008248341971799588
wife,74.0,0.0008248341971799588
certain,73.0,0.0008136877891099593
white,73.0,0.0008136877891099593
low,73.0,0.0008136877891099593
least,72.0,0.0008025413810399598
pleasure,72.0,0.0008025413810399598
days,71.0,0.0007913949729699604
wished,71.0,0.0007913949729699604
read,71.0,0.0007913949729699604
sort,71.0,0.0007913949729699604
going,71.0,0.0007913949729699604
often,70.0,0.000780248564899961
sometimes,70.0,0.000780248564899961
table,70.0,0.000780248564899961
many,70.0,0.000780248564899961
open,70.0,0.000780248564899961
things,69.0,0.0007691021568299616
lay,69.0,0.0007691021568299616
course,69.0,0.0007691021568299616
set,68.0,0.0007579557487599621
thus,68.0,0.0007579557487599621
brought,68.0,0.0007579557487599621
besides,68.0,0.0007579557487599621
hair,68.0,0.0007579557487599621
believe,68.0,0.0007579557487599621
return,68.0,0.0007579557487599621
large,67.0,0.0007468093406899626
live,67.0,0.0007468093406899626
feeling,67.0,0.0007468093406899626
people,67.0,0.0007468093406899626
whose,66.0,0.0007356629326199632
returned,66.0,0.0007356629326199632
either,66.0,0.0007356629326199632
chair,66.0,0.0007356629326199632
however,66.0,0.0007356629326199632
gone,66.0,0.0007356629326199632
suppose,66.0,0.0007356629326199632
poor,66.0,0.0007356629326199632
rest,66.0,0.0007356629326199632
present,65.0,0.0007245165245499638
temple,65.0,0.0007245165245499638
opened,64.0,0.0007133701164799643
given,64.0,0.0007133701164799643
ask,64.0,0.0007133701164799643
talk,63.0,0.0007022237084099649
fear,63.0,0.0007022237084099649
helen,63.0,0.0007022237084099649
doubt,62.0,0.0006910773003399655
taken,62.0,0.0006910773003399655
part,62.0,0.0006910773003399655
best,62.0,0.0006910773003399655
lips,62.0,0.0006910773003399655
sit,61.0,0.000679930892269966
silence,61.0,0.000679930892269966
mason,61.0,0.000679930892269966
anything,60.0,0.0006687844841999665
entered,60.0,0.0006687844841999665
air,60.0,0.0006687844841999665
within,60.0,0.0006687844841999665
high,59.0,0.0006576380761299671
wild,59.0,0.0006576380761299671
sense,58.0,0.0006464916680599677
turn,58.0,0.0006464916680599677
quiet,58.0,0.0006464916680599677
appeared,58.0,0.0006464916680599677
fine,58.0,0.0006464916680599677
end,58.0,0.0006464916680599677
neither,57.0,0.0006353452599899682
behind,57.0,0.0006353452599899682
cried,57.0,0.0006353452599899682
mother,57.0,0.0006353452599899682
towards,57.0,0.0006353452599899682
water,57.0,0.0006353452599899682
tm,57.0,0.0006353452599899682
