Most common words,JE relative frequency,WH relative frequency,Relative frequency difference
moment,0.0012261048876999387,0.0006574855619724567,0.000568619325727482
ye,0.0002340745694699883,0.0007996446023989338,0.0005655700329289454
knew,0.0012483977038399376,0.000693025322079076,0.0005553723817608616
good,0.0026305523045198685,0.002079075966237228,0.0005514763382826406
low,0.0008136877891099593,0.0002665482007996446,0.0005471395883103147
thus,0.0007579557487599621,0.00021323856063971568,0.0005447171881202464
whole,0.0005573204034999722,0.0011017325633051976,0.0005444121598052255
might,0.0017945716992699102,0.002327854286983563,0.0005332825877136529
found,0.0014378866410299281,0.0009062638827187917,0.0005316227583111365
house,0.0020286462687398987,0.002558862727676588,0.0005302164589366895
mr,0.0060636459900796965,0.005544202576632608,0.0005194434134470887
devil,0.00012261048876999387,0.000639715681919147,0.0005171051931491532
nature,0.0008805662375299559,0.00037316748111950246,0.0005073987564104534
tell,0.001660814802429917,0.002167925366503776,0.0005071105640738589
minute,0.00022292816139998886,0.0007285650821856952,0.0005056369207857064
set,0.0007579557487599621,0.0012616614837849844,0.0005037057350250223
else,0.00033439224209998327,0.0008351843625055531,0.0005007921204055699
far,0.0013152761522599342,0.0008174144824522434,0.0004978616698076908
companion,0.00020063534525998996,0.000693025322079076,0.000492389976819086
muttered,7.80248564899961e-05,0.0005686361617059085,0.0004906113052159124
dark,0.001058908766649947,0.0005686361617059085,0.0004902726049440385
heart,0.001961767820319902,0.0014749000444247002,0.0004868677758952018
coming,0.0005127347712199743,0.0009951132829853397,0.00048237851176536543
girl,0.0009251518698099537,0.000444247001332741,0.0004809048684772127
god,0.0012261048876999387,0.0007463349622390049,0.0004797699254609338
told,0.0009251518698099537,0.0014038205242114616,0.00047866865440150794
worse,0.0002340745694699883,0.0007107952021323857,0.00047672063266239733
nobody,0.00016719612104999163,0.000639715681919147,0.0004725195608691554
given,0.0007133701164799643,0.00024877832074633494,0.00046459179573362936
time,0.002719723569079864,0.0022567747667703243,0.00046294880230953947
thrushcross,0.0,0.00046201688138605067,0.00046201688138605067
even,0.001359861784539932,0.0009062638827187917,0.00045359790182114025
whose,0.0007356629326199632,0.00028431808085295425,0.000451344851767009
maister,1.1146408069999442e-05,0.00046201688138605067,0.0004508704733160512
settle,6.687844841999666e-05,0.0005153265215459796,0.0004484480731259829
rose,0.0010700551747199465,0.0006219458018658375,0.00044810937285410905
mrs,0.0028088948336398595,0.002363394047090182,0.00044550078654967754
yah,0.0,0.000444247001332741,0.000444247001332741
hurt,0.00014490330490999275,0.0005864060417592181,0.00044150273684922533
run,0.00020063534525998996,0.000639715681919147,0.00043908033665915704
may,0.001783425291199911,0.002221235006663705,0.00043780971546379405
however,0.0007356629326199632,0.0011728120835184362,0.00043714915089847293
remained,0.00016719612104999163,0.0006041759218125278,0.00043697980076253613
keep,0.0008248341971799588,0.0012616614837849844,0.0004368272866050256
without,0.001660814802429917,0.0012261217236783652,0.0004346930787515518
think,0.002441063367329878,0.002007996446023989,0.00043306692130588896
feeling,0.0007468093406899626,0.0003198578409595735,0.00042695149973038913
kenneth,0.0,0.00042647712127943135,0.00042647712127943135
sometimes,0.000780248564899961,0.00035539760106619283,0.00042485096383376817
bad,0.00037897787437998103,0.0007996446023989338,0.0004206667280189527
also,0.0003901242824499805,0.0007996446023989338,0.00040952031994895326
soon,0.0017054004347099147,0.0012972012438916037,0.00040819919081831095
looking,0.0011146408069999444,0.0007107952021323857,0.0004038456048675587
instead,0.00020063534525998996,0.0006041759218125278,0.0004035405765525378
find,0.0008471270133199577,0.000444247001332741,0.0004028800119872167
angry,7.80248564899961e-05,0.0004797867614393603,0.0004017619049493642
observed,0.00033439224209998327,0.0007285650821856952,0.00039417284008571197
go,0.002775455609429861,0.003163038649489116,0.0003875830400592549
know,0.0025525274480298725,0.002167925366503776,0.0003846020815260966
pale,0.0006130524438499694,0.00023100844069302533,0.000382044003156944
doctor,4.458563227999777e-05,0.00042647712127943135,0.0003818914889994336
turned,0.0010923479908599453,0.0007107952021323857,0.00038155278872755967
hold,0.0003120994259599844,0.000693025322079076,0.0003809258961190916
servant,0.0004012706905199799,0.0007818747223456242,0.00038060403182564427
hour,0.0014267402329599286,0.0010484229231452688,0.0003783173098146598
course,0.0007691021568299616,0.0003909373611728121,0.0003781647956571495
tm,0.0006353452599899682,0.0010128831630386494,0.00037753790304868124
perhaps,0.001159226439279942,0.0007818747223456242,0.00037735171693431785
commenced,0.00012261048876999387,0.0004975566414926699,0.000374946152722676
hate,0.000300953017889985,0.0006752554420257663,0.0003743024241357813
minutes,0.0008359806052499582,0.00046201688138605067,0.0003739637238639075
large,0.0007468093406899626,0.00037316748111950246,0.0003736418595704602
words,0.0011703728473499416,0.0007996446023989338,0.0003707282449510078
hardly,0.0004124170985899794,0.0007818747223456242,0.0003694576237556448
hand,0.002039792676809898,0.0016703687250111063,0.0003694239517987917
returned,0.0007356629326199632,0.0011017325633051976,0.0003660696306852344
nay,0.00010031767262999498,0.00046201688138605067,0.0003616992087560557
